n,k,sigma_noise,seed,ber,n_eval,n_repeats
64,5,0.1,4,0.1367095238095238,10000,21
64,6,0.025,0,0.04651904761904762,10000,21
64,6,0.025,1,0.04635238095238095,10000,21
64,6,0.025,2,0.047266666666666665,10000,21
64,6,0.025,3,0.04492857142857143,10000,21
64,6,0.025,4,0.0436047619047619,10000,21
64,6,0.05,0,0.0884,10000,21
64,6,0.05,1,0.0911095238095238,10000,21
64,6,0.05,2,0.08893333333333332,10000,21
64,6,0.05,3,0.08692380952380951,10000,21
64,6,0.05,4,0.0827,10000,21
64,6,0.1,0,0.16234761904761905,10000,21
64,6,0.1,1,0.16723809523809524,10000,21
64,6,0.1,2,0.16287142857142856,10000,21
64,6,0.1,3,0.16149047619047618,10000,21
64,6,0.1,4,0.15366190476190475,10000,21
128,1,0.025,0,0.007533333333333333,10000,21
128,1,0.025,1,0.007647619047619048,10000,21
128,1,0.025,2,0.007266666666666666,10000,21
128,1,0.025,3,0.008633333333333335,10000,21
128,1,0.025,4,0.0076952380952380935,10000,21
128,1,0.05,0,0.01521904761904762,10000,21
128,1,0.05,1,0.01608095238095238,10000,21
128,1,0.05,2,0.015,10000,21
128,1,0.05,3,0.016714285714285713,10000,21
128,1,0.05,4,0.016057142857142857,10000,21
128,1,0.1,0,0.031180952380952375,10000,21
128,1,0.1,1,0.03282857142857143,10000,21
128,1,0.1,2,0.03027619047619047,10000,21
128,1,0.1,3,0.03366190476190476,10000,21
128,1,0.1,4,0.032171428571428566,10000,21
128,2,0.025,0,0.015995238095238094,10000,21
128,2,0.025,1,0.016428571428571428,10000,21
128,2,0.025,2,0.017609523809523808,10000,21
128,2,0.025,3,0.015047619047619048,10000,21
128,2,0.025,4,0.014942857142857145,10000,21
128,2,0.05,0,0.03201428571428571,10000,21
128,2,0.05,1,0.03177619047619048,10000,21
128,2,0.05,2,0.03365714285714286,10000,21
128,2,0.05,3,0.03017619047619047,10000,21
128,2,0.05,4,0.030338095238095233,10000,21
128,2,0.1,0,0.06316190476190475,10000,21
128,2,0.1,1,0.06196190476190476,10000,21
128,2,0.1,2,0.06465238095238095,10000,21
128,2,0.1,3,0.06012380952380952,10000,21
128,2,0.1,4,0.05976666666666666,10000,21
128,3,0.025,0,0.02541904761904762,10000,21
128,3,0.025,1,0.02347142857142857,10000,21
128,3,0.025,2,0.023423809523809524,10000,21
128,3,0.025,3,0.022761904761904758,10000,21
128,3,0.025,4,0.023071428571428573,10000,21
128,3,0.05,0,0.04913333333333333,10000,21
128,3,0.05,1,0.046228571428571424,10000,21
128,3,0.05,2,0.04744285714285715,10000,21
128,3,0.05,3,0.04528095238095238,10000,21
128,3,0.05,4,0.04569047619047619,10000,21
128,3,0.1,0,0.0939095238095238,10000,21
128,3,0.1,1,0.08995238095238094,10000,21
128,3,0.1,2,0.09151428571428571,10000,21
128,3,0.1,3,0.08804761904761904,10000,21
128,3,0.1,4,0.08933809523809523,10000,21
128,4,0.025,0,0.03162857142857143,10000,21
128,4,0.025,1,0.029252380952380953,10000,21
128,4,0.025,2,0.03088095238095238,10000,21
128,4,0.025,3,0.0334,10000,21
128,4,0.025,4,0.031290476190476195,10000,21
128,4,0.05,0,0.06065714285714285,10000,21
128,4,0.05,1,0.05661904761904762,10000,21
128,4,0.05,2,0.05997142857142858,10000,21
128,4,0.05,3,0.06468571428571428,10000,21
128,4,0.05,4,0.05985714285714286,10000,21
128,4,0.1,0,0.11544285714285714,10000,21
128,4,0.1,1,0.1079047619047619,10000,21
128,4,0.1,2,0.11334761904761903,10000,21
128,4,0.1,3,0.12130476190476189,10000,21
128,4,0.1,4,0.11421904761904761,10000,21
128,5,0.025,0,0.03959047619047619,10000,21
128,5,0.025,1,0.03724285714285715,10000,21
128,5,0.025,2,0.03895714285714286,10000,21
128,5,0.025,3,0.03955714285714285,10000,21
128,5,0.025,4,0.03911428571428571,10000,21
128,5,0.05,0,0.0757047619047619,10000,21
128,5,0.05,1,0.07184285714285714,10000,21
128,5,0.05,2,0.07565714285714284,10000,21
128,5,0.05,3,0.07792857142857142,10000,21
128,5,0.05,4,0.07607619047619048,10000,21
128,5,0.1,0,0.14136190476190477,10000,21
128,5,0.1,1,0.1334,10000,21
128,5,0.1,2,0.14013333333333336,10000,21
128,5,0.1,3,0.14693333333333336,10000,21
128,5,0.1,4,0.14178571428571426,10000,21
128,6,0.025,0,0.04641904761904762,10000,21
128,6,0.025,1,0.04617619047619047,10000,21
128,6,0.025,2,0.045433333333333326,10000,21
128,6,0.025,3,0.04791904761904762,10000,21
128,6,0.025,4,0.04709047619047619,10000,21
128,6,0.05,0,0.08925238095238094,10000,21
128,6,0.05,1,0.08676666666666666,10000,21
128,6,0.05,2,0.0868142857142857,10000,21
128,6,0.05,3,0.0904047619047619,10000,21
128,6,0.05,4,0.08873809523809524,10000,21
128,6,0.1,0,0.16380476190476187,10000,21
128,6,0.1,1,0.16003333333333336,10000,21
128,6,0.1,2,0.16075714285714285,10000,21
128,6,0.1,3,0.16404761904761903,10000,21
128,6,0.1,4,0.16366190476190476,10000,21
