n,k,seed,train_size,model,test_acc,n_test
64,4,1,100000,LR,0.506,20000
64,4,1,200000,LR,0.50375,20000
64,4,2,1000,LR,0.4995,20000
64,4,2,1000,MLP,0.49885,20000
64,4,2,2000,LR,0.50025,20000
64,4,2,2000,MLP,0.5036,20000
64,4,2,5000,LR,0.50475,20000
64,4,2,5000,MLP,0.50975,20000
64,4,2,10000,LR,0.5087,20000
64,4,2,10000,MLP,0.5138,20000
64,4,2,20000,LR,0.5109,20000
64,4,2,20000,MLP,0.51365,20000
64,4,2,50000,LR,0.50735,20000
64,4,2,50000,MLP,0.9618,20000
64,4,2,100000,LR,0.50805,20000
64,4,2,200000,LR,0.50855,20000
64,4,3,1000,LR,0.5023,20000
64,4,3,1000,MLP,0.498,20000
64,4,3,2000,LR,0.50255,20000
64,4,3,2000,MLP,0.50105,20000
64,4,3,5000,LR,0.50085,20000
64,4,3,5000,MLP,0.5044,20000
64,4,3,10000,LR,0.5006,20000
64,4,3,10000,MLP,0.50265,20000
64,4,3,20000,LR,0.50685,20000
64,4,3,20000,MLP,0.4981,20000
64,4,3,50000,LR,0.51055,20000
64,4,3,50000,MLP,0.9621,20000
64,4,3,100000,LR,0.50795,20000
64,4,3,200000,LR,0.51425,20000
64,5,0,1000,LR,0.5017,20000
64,5,0,1000,MLP,0.50345,20000
64,5,0,2000,LR,0.5007,20000
64,5,0,2000,MLP,0.5031,20000
64,5,0,5000,LR,0.5035,20000
64,5,0,5000,MLP,0.5049,20000
64,5,0,10000,LR,0.50325,20000
64,5,0,10000,MLP,0.4992,20000
64,5,0,20000,LR,0.4964,20000
64,5,0,20000,MLP,0.50045,20000
64,5,0,50000,LR,0.49775,20000
64,5,0,50000,MLP,0.5017,20000
64,5,0,100000,LR,0.4996,20000
64,5,0,200000,LR,0.5056,20000
64,5,1,1000,LR,0.4999,20000
64,5,1,1000,MLP,0.49865,20000
64,5,1,2000,LR,0.49685,20000
64,5,1,2000,MLP,0.5014,20000
64,5,1,5000,LR,0.5031,20000
64,5,1,5000,MLP,0.50595,20000
64,5,1,10000,LR,0.5004,20000
64,5,1,10000,MLP,0.50735,20000
64,5,1,20000,LR,0.501,20000
64,5,1,20000,MLP,0.49615,20000
64,5,1,50000,LR,0.50725,20000
64,5,1,50000,MLP,0.50305,20000
64,5,1,100000,LR,0.5009,20000
64,5,1,200000,LR,0.50485,20000
64,5,2,1000,LR,0.498,20000
64,5,2,1000,MLP,0.4951,20000
64,5,2,2000,LR,0.50095,20000
64,5,2,2000,MLP,0.49785,20000
64,5,2,5000,LR,0.50525,20000
64,5,2,5000,MLP,0.4983,20000
64,5,2,10000,LR,0.50365,20000
64,5,2,10000,MLP,0.50115,20000
64,5,2,20000,LR,0.49905,20000
64,5,2,20000,MLP,0.49675,20000
64,5,2,50000,LR,0.5068,20000
64,5,2,50000,MLP,0.50445,20000
64,5,2,100000,LR,0.50305,20000
64,5,2,200000,LR,0.5051,20000
64,5,3,1000,LR,0.502,20000
64,5,3,1000,MLP,0.5013,20000
64,5,3,2000,LR,0.49455,20000
64,5,3,2000,MLP,0.49815,20000
64,5,3,5000,LR,0.5023,20000
64,5,3,5000,MLP,0.5012,20000
64,5,3,10000,LR,0.50115,20000
64,5,3,10000,MLP,0.49815,20000
64,5,3,20000,LR,0.49985,20000
64,5,3,20000,MLP,0.5025,20000
64,5,3,50000,LR,0.5025,20000
64,5,3,50000,MLP,0.5064,20000
64,5,3,100000,LR,0.50155,20000
64,5,3,200000,LR,0.49925,20000
64,6,0,1000,LR,0.5005,20000
64,6,0,1000,MLP,0.50025,20000
64,6,0,2000,LR,0.50615,20000
64,6,0,2000,MLP,0.4992,20000
64,6,0,5000,LR,0.5048,20000
64,6,0,5000,MLP,0.5049,20000
64,6,0,10000,LR,0.501,20000
64,6,0,10000,MLP,0.5043,20000
64,6,0,20000,LR,0.49715,20000
64,6,0,20000,MLP,0.50625,20000
64,6,0,50000,LR,0.49955,20000
64,6,0,50000,MLP,0.4963,20000
64,6,0,100000,LR,0.499,20000
64,6,0,200000,LR,0.4979,20000
64,6,1,1000,LR,0.4965,20000
64,6,1,1000,MLP,0.4996,20000
64,6,1,2000,LR,0.5024,20000
64,6,1,2000,MLP,0.5014,20000
64,6,1,5000,LR,0.49215,20000
64,6,1,5000,MLP,0.50305,20000
64,6,1,10000,LR,0.49505,20000
64,6,1,10000,MLP,0.49635,20000
64,6,1,20000,LR,0.4905,20000
64,6,1,20000,MLP,0.4933,20000
64,6,1,50000,LR,0.49325,20000
64,6,1,50000,MLP,0.4966,20000
64,6,1,100000,LR,0.49415,20000
64,6,1,200000,LR,0.4984,20000
64,6,2,1000,LR,0.50245,20000
64,6,2,1000,MLP,0.50325,20000
64,6,2,2000,LR,0.5077,20000
64,6,2,2000,MLP,0.5048,20000
64,6,2,5000,LR,0.50145,20000
64,6,2,5000,MLP,0.5066,20000
64,6,2,10000,LR,0.50205,20000
64,6,2,10000,MLP,0.503,20000
64,6,2,20000,LR,0.5003,20000
64,6,2,20000,MLP,0.5024,20000
64,6,2,50000,LR,0.4952,20000
64,6,2,50000,MLP,0.4979,20000
64,6,2,100000,LR,0.4973,20000
64,6,2,200000,LR,0.4997,20000
64,6,3,1000,LR,0.50275,20000
64,6,3,1000,MLP,0.49725,20000
64,6,3,2000,LR,0.5027,20000
64,6,3,2000,MLP,0.50625,20000
64,6,3,5000,LR,0.5041,20000
64,6,3,5000,MLP,0.4997,20000
64,6,3,10000,LR,0.50015,20000
64,6,3,10000,MLP,0.4968,20000
64,6,3,20000,LR,0.5036,20000
64,6,3,20000,MLP,0.4967,20000
64,6,3,50000,LR,0.4962,20000
64,6,3,50000,MLP,0.50535,20000
64,6,3,100000,LR,0.5049,20000
64,6,3,200000,LR,0.50005,20000
128,1,0,1000,LR,0.94115,20000
128,1,0,1000,MLP,0.9098,20000
128,1,0,2000,LR,0.97065,20000
128,1,0,2000,MLP,0.9439,20000
128,1,0,5000,LR,0.9887,20000
128,1,0,5000,MLP,0.96785,20000
128,1,0,10000,LR,0.9925,20000
128,1,0,10000,MLP,0.97195,20000
128,1,0,20000,LR,0.9968,20000
128,1,0,20000,MLP,0.98165,20000
128,1,0,50000,LR,0.9982,20000
128,1,0,50000,MLP,0.98755,20000
128,1,0,100000,LR,0.9986,20000
128,1,0,200000,LR,0.99885,20000
128,1,1,1000,LR,0.9427,20000
128,1,1,1000,MLP,0.9035,20000
128,1,1,2000,LR,0.9675,20000
128,1,1,2000,MLP,0.9048,20000
128,1,1,5000,LR,0.98675,20000
128,1,1,5000,MLP,0.9681,20000
